ID,Monetary,Frequence,Recency
17850.0,5391.21,34,372
13047.0,3237.54,10,32
12583.0,7281.38,15,3
13748.0,948.25,5,96
15100.0,876.0,3,334
15291.0,4668.3,15,26
14688.0,5579.1,21,8
17809.0,5411.91,12,16
15311.0,60632.75,91,1
16098.0,2005.63,7,88
18074.0,489.6,1,374
17420.0,598.83,3,50
16029.0,80850.84,63,39
16250.0,389.44,2,261
12431.0,6419.95,15,36
17511.0,91062.38,31,3
13705.0,711.86,3,8
13747.0,79.6,1,374
13408.0,28117.04,62,2
13767.0,17220.36,37,2
17924.0,2962.5,7,12
13448.0,3534.69,6,17
15862.0,832.88,4,8
15513.0,14758.220000000001,19,33
12791.0,192.60000000000002,1,374
16218.0,3084.68,7,30
14045.0,1659.75,4,109
14307.0,2995.72,6,89
17908.0,232.03,1,374
17920.0,4119.5,17,4
12838.0,671.95,2,34
13255.0,399.51,2,9
16583.0,233.45,1,374
18085.0,689.95,2,330
13758.0,3190.55,7,12
13694.0,65039.62,50,4
15983.0,1465.12,4,22
14849.0,7930.54,25,22
17968.0,265.1,1,374
16210.0,21086.3,18,2
17897.0,541.8100000000001,3,173
17377.0,4058.32,20,24
16552.0,379.73,2,243
17181.0,239.92000000000002,2,57
17951.0,1008.5400000000001,3,40
14729.0,313.49,1,374
12748.0,33053.19,210,1
15012.0,405.04,2,54
12868.0,1607.0600000000002,6,186
17572.0,226.75000000000003,4,71
14078.0,1049.37,6,102
14001.0,2043.0800000000002,3,46
12662.0,3849.78,11,1
15525.0,734.37,3,2
14237.0,161.0,1,373
17905.0,798.99,4,71
15485.0,2564.5,3,30
12433.0,13375.87,7,1
16955.0,518.67,4,185
15350.0,115.65,1,373
15605.0,1198.23,5,36
18144.0,2888.75,12,8
15922.0,369.5,1,373
14594.0,363.33,2,7
15165.0,487.75,1,373
14911.0,143711.17,201,1
16456.0,2158.18,5,99
0.0,1732777.79,1600,1
17346.0,2622.88,15,4
17643.0,101.55,1,373
17841.0,40519.84,124,2
17873.0,1848.96,5,80
13093.0,7832.47,8,276
12921.0,16587.09,37,9
13468.0,5704.97,37,2
17760.0,287.59,2,22
16928.0,2814.7,17,80
16048.0,256.44,2,373
16274.0,351.75,1,373
14496.0,538.8100000000001,2,312
14696.0,2078.95,7,4
16539.0,1388.81,4,3
17025.0,357.77,3,61
13777.0,25977.16,33,1
